Name,Address,Latitude,Longitude,Rating,User Ratings Total
ShopRite of Forest & Richmond,"985 Richmond Avenue, Staten Island",40.6230508,-74.1485647,4.2,2568
PetSmart,"1525 Forest Avenue, Staten Island",40.6261169,-74.1381644,4.4,1582
Divine Wood Furniture,"128 Port Richmond Avenue, Staten Island",40.6379367,-74.1336584,3.9,28
GameStop,"1756 Forest Avenue, Staten Island",40.62428939999999,-74.14723479999999,4.3,431
Pep Boys,"1941 Forest Avenue, Staten Island",40.626122,-74.15384,3.6,1049
CVS,"1933 Victory Boulevard, Staten Island",40.6128206,-74.1284426,3.2,172
Staten Island Hair & Beauty Supply,"1351 Forest Avenue, Staten Island",40.6262299,-74.1355571,3.3,80
Starbucks,"2070 Victory Boulevard, Staten Island",40.6122105,-74.1325981,4.1,781
Alfonso's Pastry Shoppe,"1899 Victory Boulevard, Staten Island",40.6130401,-74.1273451,4.3,275
Langdon Florist of Tribeca,"1263 Clove Road, Staten Island",40.6163227,-74.1031782,4.4,81
GNC,"2040 Forest Plaza, Staten Island",40.6254529,-74.1558933,4.3,64
Holly Hill Pool and Patio,"204 Morningstar Road, Staten Island",40.6328874,-74.14665529999999,4.8,139
Harley-Davidson of Staten Island,"1973 Forest Avenue, Staten Island",40.626206,-74.154962,4.6,372
Ron & Dave's Tattooing,"603 Manor Road, Staten Island",40.6127069,-74.1222034,4.9,344
The Home Depot,"545 Targee Street, Staten Island",40.6133247,-74.08343450000001,4,2002
Walgreens,"1759 Hylan Boulevard, Staten Island",40.5864176,-74.0926956,2.9,85
Honda of Staten Island,"1232 Hylan Boulevard, Staten Island",40.59739460000001,-74.08369450000001,4.3,2047
Package Hub Staten Island FedEx UPS DHL USPS,"1808 Hylan Boulevard, Staten Island",40.5849671,-74.0935394,4.3,134
Mandolin Brothers,"629 Forest Avenue, Staten Island",40.6300481,-74.11007270000002,4.4,8
Walgreens,"2270 Clove Road, Staten Island",40.59915439999999,-74.08168309999999,3.3,68
Davidson 99¢ Plus,"225 Broad Street, Staten Island",40.6238601,-74.0823553,4,27
Nissan of Staten Island Service Department,"222 Parkinson Avenue, Staten Island",40.595724,-74.0826151,3.5,337
5050 Skatepark,"354 Front Street, Staten Island",40.6280385,-74.0746613,4.4,100
Murano's Furniture Staten Island,"1510 Hylan Boulevard, Staten Island",40.5915155,-74.087501,4.5,127
Carparts inc,"150 Canal Street, Staten Island",40.6260425,-74.0781174,4.5,46
All Tire & Service,"190 Rhine Avenue, Staten Island",40.60940159999999,-74.0892394,4.7,1354
Key Food Marketplace Staten Island,"450 Forest Avenue, Staten Island",40.6306023,-74.10432999999999,3.7,764
Tastebud's Natural Foods,"1807 Hylan Boulevard, Staten Island",40.58519200000001,-74.0939428,4.2,95
Baskin-Robbins,"1131 Bay Street, Staten Island",40.61534049999999,-74.0665535,2.7,15
Stop & Shop,"2754 Hylan Boulevard, Staten Island",40.56392779999999,-74.1144213,4.1,1196
Baskin-Robbins,"770 Forest Avenue, Staten Island",40.6288978,-74.11495169999999,4.2,25
CVS,"1361 Hylan Boulevard, Staten Island",40.5951901,-74.0863763,2.9,178
T.J. Maxx,"2530 Hylan Boulevard, Staten Island",40.569597,-74.10927500000001,4.1,748
New York Man Suits,"2670 Hylan Boulevard, Staten Island",40.566267,-74.1126561,4.8,231
Bay Harbor Motors,"457 Bay Street, Staten Island",40.6310333,-74.0761223,4.2,370
JHU Comic Books (Formerly of Jim Hanley's Universe),"299 New Dorp Lane, Staten Island",40.5721,-74.112298,4.7,238
Casale Jewelers,"1639 Richmond Road, Staten Island",40.5899901,-74.10113079999999,5,872
Starbucks,"2530 Hylan Boulevard, Staten Island",40.56958900000001,-74.10972199999999,4,567
Treshers,"186 Robin Road, Staten Island",40.592583,-74.0676173,4.6,23
Old Town Pharmacy,"1250 Hylan Boulevard # 3A, Staten Island",40.5971993,-74.0842897,3.9,12
Mother Mousse,"2175 Hylan Boulevard, Staten Island",40.5775549,-74.1033722,4.1,52
T-Mobile,"2556 Hylan Boulevard, Staten Island",40.568968,-74.1106233,3.9,253
Cash Now Pawn Shop,"1140 Bay Street, Staten Island",40.6151652,-74.06739929999999,4.3,57
Clark's House of Flowers,"1875 Victory Boulevard, Staten Island",40.613081,-74.1262057,4.6,152
Walgreens,"1227 Forest Avenue, Staten Island",40.6264402,-74.1309565,2.6,87
The UPS Store,"2744 Hylan Boulevard, Staten Island",40.5644532,-74.113868,3.2,149
Mattress Firm New Boulevard,"2626 Hylan Boulevard Suite 1, Staten Island",40.5677964,-74.1119868,4.9,613
McDonald's,"803 Forest Avenue, Staten Island",40.6293233,-74.1158612,3.4,1792
Eye Care Advantage Inc,"1050 Clove Road, Staten Island",40.6197635,-74.10848969999999,3,1
Todt Hill Specialty Pharmacy,"2110 Richmond Road, Staten Island",40.5812958,-74.111526,3.8,25
The Royal Press,"1267 Forest Avenue, Staten Island",40.626727,-74.1316576,5,1
Every Thing Goes Furniture & Clothing,"17 Brook Street, Staten Island",40.63741419999999,-74.08124339999999,4.3,80
CVS,"778 Manor Road, Staten Island",40.60806600000001,-74.12167199999999,3.6,46
Trimalawn Equipment,"2081 Victory Boulevard, Staten Island",40.6125878,-74.1329422,3.9,95
Perkins American Food Co.,"1409 Hylan Boulevard, Staten Island",40.5944214,-74.08699969999999,4.1,1129
Sanctuary Boutique Inc,"1206 Richmond Road, Staten Island",40.5973329,-74.09268589999999,4.8,10
Cohen's Fashion Optical,"2748 Hylan Boulevard, Staten Island",40.5644915,-74.11385159999999,4.3,146
Michaels,"30 Barrett Ave Forest Avenue Shoppers Plaza, Staten Island",40.6253667,-74.1366942,4.3,1044
Todt Hill Medical Center,"78 Todt Hill Road, Staten Island",40.6112213,-74.1192703,4.4,97
Spare Pair Vision Center,"1300 Hylan Boulevard, Staten Island",40.596661,-74.085008,4.7,64
Marshalls,"1832 86th Street, Brooklyn",40.6062901,-74.002099,3.9,2895
Kohl's,"8973 Bay Parkway Ste 1, Brooklyn",40.593163,-74.00099999999999,4.2,3802
Best Buy,"8923 Bay Parkway, Brooklyn",40.593617,-73.999141,4.2,5570
Bay Ridge Honda,"8801 4th Avenue, Brooklyn",40.6208119,-74.0287305,4.3,2473
BMW of Brooklyn,"9326 4th Avenue, Brooklyn",40.6170008,-74.0310394,4.7,1873
AT&T Store,"2121 86th Street, Brooklyn",40.6031419,-73.9952065,4.4,376
AT&T Store,"453 86th Street, Brooklyn",40.6222368,-74.0268411,3.8,194
Toyota of Bay Ridge Brooklyn,"6401 6th Avenue, Brooklyn",40.6354382,-74.0159122,4.1,3695
Mercedes-Benz of Brooklyn,"1800 Shore Parkway, Brooklyn",40.5915959,-73.99595,4.4,1751
Walgreens,"9408 3rd Avenue, Brooklyn",40.61773539999999,-74.0337887,3,181
Gap Factory,"423 86th Street, Brooklyn",40.6225672,-74.0274876,4.2,514
Panda Ski and Sport: Brooklyn NY,"9213 5th Avenue, Brooklyn",40.6175021,-74.0294163,4.7,441
Nature's Grill,"7417 3rd Avenue, Brooklyn",40.631608,-74.027502,4.1,336
Premier Ford of Bay Ridge,"612 86th Street, Brooklyn",40.6189414,-74.022694,4,495
Starbucks,"7419 3rd Avenue, Brooklyn",40.63156839999999,-74.0275289,4,737
The UPS Store,"8225 5th Avenue, Brooklyn",40.6236166,-74.02481630000001,3.3,199
Empire Nissan of Bay Ridge,"6501 5th Avenue, Brooklyn",40.6362897,-74.0191591,4.3,5115
Bay Ridge Subaru,"1819 Cropsey Avenue, Brooklyn",40.6022715,-74.0062998,4.4,1052
The UPS Store,"9322 3rd Avenue, Brooklyn",40.6181814,-74.03345820000001,3.4,115
Little Cupcake Bakeshop,"9102 3rd Avenue, Brooklyn",40.61997,-74.032774,4.3,807
Narrows Pharmacy,"9920 4th Avenue #100, Brooklyn",40.61305730000001,-74.0337244,4.3,30
Verizon,"8524 5th Avenue, Brooklyn",40.6217827,-74.0262623,3.3,288
Finocchiaro Marie G,"800 Poly Place, Brooklyn",40.60874159999999,-74.024293,5,1
Peck Heidi M,"800 Poly Place, Brooklyn",40.60874159999999,-74.024293,N/A,0
Bay Ridge Volkswagen,"8910 4th Avenue, Brooklyn",40.6202255,-74.029668,4.2,586
Rite Aid,"6423 Fort Hamilton Parkway, Brooklyn",40.6304372,-74.0085939,3.6,104
Starbucks,"514 86th Street, Brooklyn",40.6211059,-74.02590599999999,4,756
Global Gold & Silver,"8819 3rd Avenue, Brooklyn",40.6214837,-74.0315885,4.8,153
Maurro & Sons Plumbing & Heating,"8208 17th Avenue, Brooklyn",40.6107693,-74.0028462,4.7,21
P.C. Richard & Son,"576-80 86th Street, Brooklyn",40.61978269999999,-74.0240602,4.9,3099
BP VERRAZANO REPAIR SHOP,"9111 4th Avenue, Brooklyn",40.6186294,-74.0298224,3,54
Street Sounds,"9206 3rd Avenue, Brooklyn",40.61917589999999,-74.0331025,4.3,23
Park Bagels,"1410 86th Street, Brooklyn",40.6124216,-74.0115426,4.1,239
Mattress Firm Bay Ridge,"8615 4th Avenue, Brooklyn",40.6221868,-74.0283709,4.8,458
1 Stop Cameras & Electronics,"70 Bath Ave, Brooklyn",40.6258111,-74.00887150000001,1.7,30
Intermed,"1849 86th Street, Brooklyn",40.6066109,-74.0011378,N/A,0
Bagel Boy,"8002 3rd Avenue, Brooklyn",40.62778999999999,-74.02949269999999,4.5,983
SuperFresh Bay Ridge,"242 Bay Ridge Avenue, Brooklyn",40.636009,-74.02721249999999,4.1,1022
Staples,"9319 5th Avenue, Brooklyn",40.61661499999999,-74.030028,3.9,357
Lexus of Brooklyn,"6502 5th Avenue, Brooklyn",40.6366714,-74.019774,3.9,1496
Netcost Market,"8671 18th Avenue, Brooklyn",40.6058142,-74.00370869999999,4.2,1216
Omonia Cafe,"7612-14 3rd Avenue, Brooklyn",40.6304279,-74.0284654,4.2,1545
The Home Depot,"2970 Cropsey Avenue, Brooklyn",40.5816626,-73.98869789999999,4.1,3896
Staples,"1880 Coney Island Avenue, Brooklyn",40.611867,-73.963078,3.6,428
AT&T Store,"1101 Kings Highway, Brooklyn",40.6075921,-73.9617021,4.1,293
Lotus Bridal Brooklyn,"1822 Avenue U, Brooklyn",40.5990745,-73.95281779999999,4.7,352
Rain Shop,Brooklyn,40.61952269999999,-73.9859184,N/A,0
T.J. Maxx,"1630 East 15th Street, Brooklyn",40.6092298,-73.9585137,4,2744
Best Buy Liquors,"1613 Neptune Avenue, Brooklyn",40.57919930000001,-73.9846613,4.6,1068
Kings Games,"1685 East 15th Street, Brooklyn",40.6083444,-73.9579722,3.9,407
Villabate Alba,"7001 18th Avenue, Brooklyn",40.6160737,-73.9930346,4.6,2343
AT&T Store,"618-620 Brighton Beach Avenue, Brooklyn",40.5775791,-73.9607877,3.9,288
bp,"2620 86th Street, Brooklyn",40.5962729,-73.9848444,2.7,81
P.C. Richard & Son,"450 Kings Highway, Brooklyn",40.6040974,-73.9735905,4.8,2767
"Chiming Kwan, MHS","2601 Ocean Parkway, Brooklyn",40.5854896,-73.9655812,N/A,0
"Elizabeth A. Cleary, BS","2601 Ocean Parkway, Brooklyn",40.5854896,-73.9655812,N/A,0
Amazing Savings Ave M,"1605 Avenue M, Brooklyn",40.6182638,-73.959065,4.5,2460
"Warren Lakoff, R","2601 Ocean Parkway, Brooklyn",40.5854896,-73.9655812,N/A,0
Kerekes Bakery & Restaurant Equipment Inc. - BakeDeco,"6103 15th Avenue, Brooklyn",40.6252679,-73.9948649,4.6,496
U-Haul Moving & Storage of Bensonhurst,"6615 New Utrecht Avenue, Bensonhurst",40.6222445,-73.9977638,3.7,563
TRAINWORLD.COM,"725 McDonald Avenue, Brooklyn",40.63644089999999,-73.97783079999999,4.5,277
Lehman Optical,"1267 57th Street # 1R, Brooklyn",40.631,-73.997079,N/A,0
W & F Deli,"392 Neptune Avenue, Brooklyn",40.5803192,-73.96702599999999,4.1,29
Marshalls,"1623 Avenue Y, Brooklyn",40.5904065,-73.95306830000001,3.9,3047
Netcost Market,"2339 65th Street, Brooklyn",40.6120902,-73.97797539999999,4.1,1056
Petco,"2601 86th Street, Brooklyn",40.5968431,-73.98488329999999,4.2,2043
Staples,"2892 Ocean Avenue, Brooklyn",40.590884,-73.950268,3.4,391
Baskin-Robbins,"1510 Elm Avenue, Brooklyn",40.6177819,-73.9596517,3.4,15
Rubi Discount Store,"1228 Avenue U, Brooklyn",40.59841979999999,-73.95928909999999,3.9,44
Fei Long Market,"6301 8th Avenue, Brooklyn",40.6330565,-74.010881,3.8,2826
CubeSmart Self Storage of Brooklyn,"2990 Cropsey Avenue, Brooklyn",40.5802934,-73.98824239999999,4.7,439
Forces of Nature,"1608 Sheepshead Bay Road, Brooklyn",40.58700339999999,-73.9530544,4,102
Toys 2 Discover Boro Park,"5504 18th Avenue, Brooklyn",40.624812,-73.9846879,4.8,208
Grand Prix Motors - Car Lease Deals,"2737 Coney Island Avenue, Brooklyn",40.5898029,-73.9603321,5,938
bp,"1105 60th Street, Brooklyn",40.6314988,-74.002595,2.9,44
Baskin-Robbins,"7121 18th Avenue, Brooklyn",40.6150974,-73.9939503,2,11
Mannings 8th Ave Pharmacy,"6402 8th Avenue G103, Brooklyn",40.6332572,-74.0123212,4.2,50
"Refinishingnyc, Inc","2930 West 30th Street, Brooklyn",40.5736163,-73.99663869999999,4,5
"Dr. Millie R. Fell, MD","2025 Kings Highway, Brooklyn",40.611327,-73.952777,3.8,13
Target,"1598 Flatbush Avenue, Brooklyn",40.6315059,-73.9467515,4,2635
H&M,"5100 Kings Plaza, Brooklyn",40.6100251,-73.92129320000001,4.1,965
Zales,"5176 Kings Plaza Suite 153, Brooklyn",40.6097974,-73.9199898,4.6,242
Perfumania,"5100 Kings Plaza Space 132, Brooklyn",40.610683,-73.920036,4.3,253
Bath & Body Works,"5100 Kings Plaza, Brooklyn",40.6105069,-73.92038079999999,4.5,1306
Metro by T-Mobile,"5100 Kings Plaza, Brooklyn",40.6104056,-73.92083629999999,4.1,33
Kings Plaza Shopping Center,"5100 Kings Plaza, Brooklyn",40.61011909999999,-73.920052,4.3,16819
LGX | LANDING GEAR,"5100 Kings Plaza, Brooklyn",40.60995090000001,-73.9202648,4,8
The Home Depot,"5700 Avenue U, Brooklyn",40.6119661,-73.91656379999999,4,1827
AX Armani Exchange,"Space 248, Kings Plaza Shopping Center, 5373 Kings Plaza, Brooklyn",40.6107153,-73.92048919999999,3.9,183
Macy's,"5400 Avenue U, Brooklyn",40.6105232,-73.9191614,4.2,6620
SNIPES,"2135 Ralph Avenue, Brooklyn",40.6254815,-73.9162322,4,76
Forever 21,"5301 Kings Plaza #210, Brooklyn",40.6104056,-73.92083629999999,3.8,529
Plaza Auto Mall,"2740 Nostrand Avenue, Brooklyn",40.6179918,-73.9454849,3.7,1602
Ideal Uniforms,"1816 Flatbush Avenue, Brooklyn",40.62554000000001,-73.94031129999999,3.6,1121
Old Navy,"5141 Kings Plaza #2231, Brooklyn",40.6093079,-73.92057870000001,4.1,551
Party City,"2265 Ralph Avenue, Brooklyn",40.62238130000001,-73.916647,4.1,1125
GUESS,"5100 Kings Plaza Space 139, Brooklyn",40.6103475,-73.9205927,4.2,111
American Eagle & Aerie,"5249 Kings Plaza, Brooklyn",40.610326,-73.921188,4.3,173
The Children's Place,"5344 Kings Plaza, Brooklyn",40.6106118,-73.9206667,3.2,26
Lids,"5100 Kings Plaza, Brooklyn",40.60974609999999,-73.9194486,3.8,115
Foot Locker,"5266 Kings Plaza, Brooklyn",40.61047070000001,-73.9206067,4.1,311
U-Haul at Flatbush,"5283 Kings Highway, East Flatbush",40.63789879999999,-73.925658,3.3,597
CVS Pharmacy,"1598 Flatbush Avenue, Brooklyn",40.6315059,-73.9467515,2.6,74
Wheels To Lease,"2170 Mill Avenue, Brooklyn",40.6140565,-73.9125906,4.9,325
Cinnabon,"5174 Kings Plaza, Brooklyn",40.6098687,-73.91990679999999,3.8,81
Street Talk,"5100 Kings Plaza, Brooklyn",40.6099317,-73.9195979,4.7,121
Kingsborough Community College Bookstore,"2001 Oriental Boulevard Room U-101, Brooklyn",40.5788658,-73.9357304,4.3,188
AT&T Store,"1610 Flatbush Avenue, Brooklyn",40.63111389999999,-73.94626079999999,4.3,204
Brooklyn Zoo & Aquarium Pet Store,"2377 Ralph Avenue, Brooklyn",40.6200642,-73.91704639999999,4.4,603
bp,"1982 Utica Avenue, Brooklyn",40.62319350000001,-73.92765779999999,2.1,9
Walgreens,"4915 Flatlands Avenue, Brooklyn",40.6266565,-73.9280064,3,72
Brooklyn Hobbies,"3852 Flatlands Avenue, Brooklyn",40.6197694,-73.93727740000001,4.6,247
The UPS Store,"1977 Ralph Avenue, Brooklyn",40.62929680000001,-73.9178764,2.6,216
Starbucks,"33-42 Hillel Place, Brooklyn",40.6322737,-73.9485906,3.9,676
AT&T Store,"2152A Ralph Avenue, Brooklyn",40.62519109999999,-73.9182685,4.2,149
Lowe's Home Improvement,"5602 Avenue U, Brooklyn",40.611228,-73.918674,3.9,3346
Duet Bakery and Restaurant,"6181-6183 Strickland Avenue, Brooklyn",40.6135668,-73.91232959999999,4.2,505
Bob’s Discount Furniture and Mattress Store,"2520 Flatbush Avenue, Brooklyn",40.60853350000001,-73.9220993,4.7,7330
Petco,"2343 Utica Avenue, Brooklyn",40.6136377,-73.9260063,4.3,1598
Mill Basin Deli,"5823 Avenue T, Brooklyn",40.6157057,-73.91812399999999,4.3,669
Baskin-Robbins,"2302 Knapp Street #2310, Brooklyn",40.5965944,-73.933617,3.5,29
Party City,"3797-3849 Nostrand Avenue, Brooklyn",40.59025279999999,-73.9393346,4.2,948
Staples,"1760 Utica Avenue, Brooklyn",40.629332,-73.928353,3.7,394
FedEx Office Print & Ship Center,"2413 Flatbush Avenue, Brooklyn",40.61151099999999,-73.92396,3.5,117
General Vision Services,"2504 Flatbush Avenue, Brooklyn",40.6092276,-73.9222654,3.9,147
Brooklyn's Best Locksmith & Hardware,"4801 Avenue N, Brooklyn",40.61901889999999,-73.9286565,4.3,293
Walgreens,"1847 Rockaway Parkway, Brooklyn",40.6373391,-73.8925141,2.2,99
Commercial Kitchen Tech,"2152 Ralph Avenue #224, Brooklyn",40.6251853,-73.9182775,1,1
Bernie’s Bait & Tackle,"3035 Emmons Avenue, Brooklyn",40.5842171,-73.9376068,4.6,546
Havin’ A Party,"1354 East 64th Street, Brooklyn",40.6200312,-73.9165292,4.5,128
TopLine Home Improvement,"2056 Utica Avenue, Brooklyn",40.6217641,-73.9274515,4.9,128
My Favorite Bagel,"3053 Nostrand Avenue, Brooklyn",40.6099699,-73.9434091,4.6,486
Paramount Beauty Supply Sheepshead Bay,"2801 Knapp Street, Brooklyn",40.58650710000001,-73.93103789999999,4.6,44
ALDI,"3785 Nostrand Avenue, Brooklyn",40.59125339999999,-73.9397973,4.2,2902
Silver Star Meat Market,"3838 Nostrand Avenue, Brooklyn",40.5902189,-73.9401256,3.9,144
Crown Trophy,"3024 Avenue U, Brooklyn",40.6006554,-73.9377961,4.9,59
Duane Reade,"2265 Ralph Avenue, Brooklyn",40.6225503,-73.9170536,3.4,45
Antolia Chocolates,Rockaway Beach,40.5867247,-73.8114993,3.5,4
Fumfie,"2-26 Beach 101st Street #2, Far Rockaway",40.5845898,-73.8221713,3.4,78
Rockaway Beach Surf Shop,"177 Beach 116th Street, Rockaway Park",40.5792358,-73.83723499999999,4.5,36
The Madelaine Chocolate Company,"9603 Beach Channel Drive, Rockaway Beach",40.586614,-73.8192974,4.3,115
Mini Mall,"430 Beach 129th Street, Rockaway Park",40.57872789999999,-73.84916679999999,3.8,9
"Paul Bicycle Shop, RBNY","163 Beach 116th Street, Rockaway Park",40.5790142,-73.8370664,4.2,97
Kimball Construction Co Inc,"183 B 131 Street, Belle Harbor",40.574746,-73.84944039999999,N/A,0
All American Bagel & Barista II,"20-10 Cross Bay Boulevard, Queens",40.59845719999999,-73.8202874,4.3,450
ANG Carpet & Flooring,"11419 Rockaway Beach Boulevard, Rockaway Park",40.58003699999999,-73.8361043,4.8,8
Belle Harbor Cards & More,"442 Beach 129th Street, Rockaway Park",40.57903719999999,-73.84957899999999,4.3,11
ADP usa inc.,"190 Beach 116th Street, Rockaway Park",40.5795642,-73.8368462,5,3
bp,"10017 Beach Channel Drive, Rockaway Park",40.5858292,-73.8227424,3.1,31
Bryan's Auto Collision,"309 Beach 97th Street #1312, Rockaway Beach",40.585767,-73.8197722,4.7,44
B C All American Deli Corporation,"925 Cross Bay Boulevard, Broad Channel",40.60598780000001,-73.8198759,4,29
Lana's Loft,"114-04 Beach Channel Drive, Rockaway Park",40.582378,-73.83683599999999,4.6,14
Spec Saver Inc,"11310 Beach Channel Drive, Far Rockaway",40.5827144,-73.83633300000001,N/A,0
Dunkin',"11320 Beach Channel Drive, Far Rockaway",40.5825313,-73.8366503,3.7,341
Baskin-Robbins,"11320 Beach Channel Drive, Far Rockaway",40.5825153,-73.8366569,3.9,30
Sunoco,"112-10 Beach Channel Drive, Rockaway Park",40.5830217,-73.8348985,4.2,25
Stop & Shop,"112-15 Beach Channel Drive, Rockaway Park",40.581865,-73.834981,4.2,1014
Mazzone Ace Hardware,"245-251 Beach 116th Street, Rockaway Park",40.5806388,-73.83790379999999,4.6,258
Polly & Esther Boutique,"414 Beach 129th Street, Belle Harbor",40.57828479999999,-73.84918449999999,5,5
The Stitch N Print Store,"16-32 Cross Bay Boulevard, Broad Channel",40.600437,-73.82005989999999,4.9,237
